Date, Open, High, Low, Close
02/06/08, 1339.48, 1351.96, 1324.34, 1326.45
02/05/08, 1380.28, 1380.28, 1336.64, 1336.64
02/04/08, 1395.38, 1395.38, 1379.69, 1380.82
02/01/08, 1378.60, 1396.02, 1375.93, 1395.42
01/31/08, 1351.98, 1385.62, 1334.08, 1378.55
01/30/08, 1362.22, 1385.86, 1352.95, 1355.81
01/29/08, 1355.94, 1364.93, 1350.19, 1362.30
01/28/08, 1330.70, 1353.97, 1322.26, 1353.97
01/25/08, 1357.32, 1368.56, 1327.50, 1330.61
01/24/08, 1340.13, 1355.15, 1334.31, 1352.07
01/23/08, 1310.41, 1339.09, 1270.05, 1338.60
01/22/08, 1312.94, 1322.09, 1274.29, 1310.50
01/18/08, 1333.90, 1350.28, 1312.51, 1325.19
01/17/08, 1374.79, 1377.72, 1330.67, 1333.25
01/16/08, 1377.41, 1391.99, 1364.27, 1373.20
01/15/08, 1411.88, 1411.88, 1380.60, 1380.95
01/14/08, 1402.91, 1417.89, 1402.91, 1416.25
01/11/08, 1419.91, 1419.91, 1394.83, 1401.02
01/10/08, 1406.78, 1429.09, 1395.31, 1420.33
01/09/08, 1390.25, 1409.19, 1378.70, 1409.13
01/08/08, 1415.71, 1430.28, 1388.30, 1390.19
01/07/08, 1414.07, 1423.87, 1403.45, 1416.18
01/04/08, 1444.01, 1444.01, 1411.19, 1411.63
01/03/08, 1447.55, 1456.80, 1443.73, 1447.16
01/02/08, 1467.97, 1471.77, 1442.07, 1447.16
12/31/07, 1475.25, 1475.83, 1465.13, 1468.36
12/28/07, 1479.83, 1488.01, 1471.70, 1478.49
12/27/07, 1495.05, 1495.05, 1475.86, 1476.27
12/26/07, 1495.12, 1498.85, 1488.20, 1497.66
12/24/07, 1484.55, 1497.63, 1484.55, 1496.45
12/21/07, 1463.19, 1485.40, 1463.19, 1484.46
12/20/07, 1456.42, 1461.53, 1447.22, 1460.12
12/19/07, 1454.70, 1464.42, 1445.31, 1453.00
12/18/07, 1445.92, 1460.16, 1435.65, 1454.98
12/17/07, 1465.05, 1465.05, 1445.43, 1445.90
12/14/07, 1486.19, 1486.67, 1467.78, 1467.95
12/13/07, 1483.27, 1489.40, 1469.21, 1488.41
12/12/07, 1487.58, 1511.96, 1468.23, 1486.59
12/11/07, 1516.68, 1523.57, 1475.99, 1477.65
12/10/07, 1505.11, 1518.27, 1504.96, 1515.96
12/07/07, 1508.60, 1510.63, 1502.66, 1504.66
12/06/07, 1484.59, 1508.02, 1482.19, 1507.34
12/05/07, 1465.22, 1486.09, 1465.22, 1485.01
12/04/07, 1471.34, 1471.34, 1460.66, 1462.79
12/03/07, 1479.63, 1481.16, 1470.08, 1472.42
11/30/07, 1471.83, 1488.94, 1470.89, 1481.14
11/29/07, 1467.41, 1473.81, 1458.36, 1469.72
11/28/07, 1432.95, 1471.62, 1432.95, 1469.02
11/27/07, 1409.59, 1429.49, 1407.43, 1428.23
11/26/07, 1440.74, 1446.09, 1406.10, 1407.22
11/23/07, 1417.62, 1440.86, 1417.62, 1440.70
11/21/07, 1434.71, 1436.40, 1415.64, 1416.77
11/20/07, 1434.51, 1452.64, 1419.28, 1439.70
11/19/07, 1456.70, 1456.70, 1430.42, 1433.27
11/16/07, 1453.09, 1462.18, 1443.99, 1458.74
11/15/07, 1468.04, 1472.67, 1443.49, 1451.15
11/14/07, 1483.40, 1492.14, 1466.47, 1470.58
11/13/07, 1441.35, 1481.37, 1441.35, 1481.05
11/12/07, 1453.66, 1464.94, 1438.53, 1439.18
11/09/07, 1467.59, 1474.09, 1448.51, 1453.70
11/08/07, 1475.27, 1482.50, 1450.31, 1474.77
11/07/07, 1515.46, 1515.46, 1475.04, 1475.62
11/06/07, 1505.33, 1520.77, 1499.07, 1520.27
11/05/07, 1505.61, 1510.84, 1489.95, 1502.17
11/02/07, 1511.07, 1513.15, 1492.53, 1509.65
11/01/07, 1545.79, 1545.79, 1506.66, 1508.44
10/31/07, 1532.15, 1552.76, 1529.40, 1549.38
